52301-1-1	
706	0.1058
707	0.1058
708	0.1058
709	0.1059
710	0.1060
711	0.1060
712	0.1059
713	0.1059
714	0.1059
715	0.1060
716	0.1060
717	0.1060
718	0.1061
719	0.1060
720	0.1061
721	0.1062
722	0.1061
723	0.1062
724	0.1063
725	0.1062
726	0.1062
727	0.1063
728	0.1063
729	0.1063
730	0.1063
731	0.1064
732	0.1065
733	0.1065
734	0.1065
735	0.1066
736	0.1067
737	0.1066
738	0.1066
739	0.1067
740	0.1068
741	0.1068
742	0.1067
743	0.1067
744	0.1068
745	0.1069
746	0.1068
747	0.1069
748	0.1069
749	0.1069
750	0.1070
751	0.1070
752	0.1069
753	0.1071
754	0.1071
755	0.1072
756	0.1071
757	0.1071
758	0.1071
759	0.1071
760	0.1073
761	0.1073
762	0.1073
763	0.1075
764	0.1074
765	0.1074
766	0.1073
767	0.1073
768	0.1075
769	0.1075
770	0.1075
771	0.1077
772	0.1077
773	0.1076
774	0.1077
775	0.1076
776	0.1078
777	0.1077
778	0.1077
779	0.1077
780	0.1078
781	0.1079
782	0.1079
783	0.1080
784	0.1078
785	0.1080
786	0.1079
787	0.1079
788	0.1081
789	0.1081
790	0.1080
791	0.1082
792	0.1082
793	0.1083
794	0.1082
795	0.1081
796	0.1081
797	0.1083
798	0.1084
799	0.1084
800	0.1084
801	0.1084
802	0.1085
803	0.1085
804	0.1085
805	0.1085
806	0.1086
807	0.1085
808	0.1085
809	0.1086
810	0.1086
811	0.1087
812	0.1085
813	0.1088
814	0.1088
815	0.1089
816	0.1088
817	0.1089
818	0.1091
819	0.1090
820	0.1091
821	0.1089
822	0.1092
823	0.1094
824	0.1093
825	0.1093
826	0.1092
827	0.1095
828	0.1093
829	0.1093
830	0.1095
831	0.1097
832	0.1095
833	0.1092
834	0.1095
835	0.1099
836	0.1097
837	0.1098
838	0.1094
839	0.1097
840	0.1095
841	0.1095
842	0.1092
843	0.1100
844	0.1097
845	0.1096
846	0.1098
847	0.1102
848	0.1100
849	0.1101
850	0.1100
851	0.1101
852	0.1100
853	0.1106
854	0.1105
855	0.1103
856	0.1106
857	0.1105
858	0.1099
859	0.1109
860	0.1243
861	0.1264
862	0.1194
863	0.1242
864	0.1315
865	0.1195
866	0.1165
867	0.1211
868	0.1151
869	0.1158
870	0.1268
871	0.1172
872	0.1209
873	0.1149
874	0.1159
875	0.1203
876	0.1210
877	0.1208
878	0.1194
879	0.1217
880	0.1186
881	0.1154
882	0.1211
883	0.1181
884	0.1138
885	0.1163
886	0.1083
887	0.1155
888	0.1186
889	0.1158
890	0.1184
891	0.1169
892	0.1197
893	0.1168
894	0.1168
895	0.1211
896	0.1154
897	0.1160
898	0.1142
899	0.1165
900	0.1168
901	0.1140
902	0.1135
903	0.1161
904	0.1149
905	0.1132
906	0.1137
907	0.1152
908	0.1145
909	0.1138
910	0.1165
911	0.1158
912	0.1167
913	0.1141
914	0.1141
915	0.1119
916	0.1119
917	0.1140
918	0.1183
919	0.1159
920	0.1145
921	0.1145
922	0.1151
923	0.1154
924	0.1149
925	0.1144
926	0.1147
927	0.1136
928	0.1145
929	0.1166
930	0.1158
931	0.1151
932	0.1146
933	0.1140
934	0.1142
935	0.1134
936	0.1142
937	0.1146
938	0.1150
939	0.1157
940	0.1152
941	0.1157
942	0.1148
943	0.1165
944	0.1169
945	0.1153
946	0.1147
947	0.1157
948	0.1146
949	0.1148
950	0.1144
951	0.1135
952	0.1151
953	0.1161
954	0.1155
955	0.1152
956	0.1148
957	0.1145
958	0.1149
959	0.1154
960	0.1148
961	0.1154
962	0.1157
963	0.1156
964	0.1158
965	0.1154
966	0.1155
967	0.1161
968	0.1153
969	0.1153
970	0.1156
971	0.1159
972	0.1159
973	0.1156
974	0.1155
975	0.1154
976	0.1156
977	0.1159
978	0.1160
979	0.1158
980	0.1158
981	0.1156
982	0.1149
983	0.1148
984	0.1151
985	0.1152
986	0.1153
987	0.1159
988	0.1158
989	0.1155
990	0.1161
991	0.1158
992	0.1154
993	0.1156
994	0.1157
995	0.1157
996	0.1161
997	0.1162
998	0.1158
999	0.1163
1000	0.1161
1001	0.1154
1002	0.1160
1003	0.1166
1004	0.1162
1005	0.1159
1006	0.1161
1007	0.1160
1008	0.1167
1009	0.1167
1010	0.1167
1011	0.1166
1012	0.1163
1013	0.1167
1014	0.1167
1015	0.1167
1016	0.1168
1017	0.1166
1018	0.1163
1019	0.1166
1020	0.1165
1021	0.1163
1022	0.1163
1023	0.1162
1024	0.1158
1025	0.1161
1026	0.1166
1027	0.1168
1028	0.1168
1029	0.1165
1030	0.1169
1031	0.1176
1032	0.1172
1033	0.1170
1034	0.1167
1035	0.1170
1036	0.1174
1037	0.1178
1038	0.1176
1039	0.1173
1040	0.1172
1041	0.1172
1042	0.1175
1043	0.1176
1044	0.1173
1045	0.1172
1046	0.1175
1047	0.1170
1048	0.1169
1049	0.1176
1050	0.1177
1051	0.1172
1052	0.1172
1053	0.1175
1054	0.1175
1055	0.1173
1056	0.1177
1057	0.1177
1058	0.1175
1059	0.1174
1060	0.1175
1061	0.1175
1062	0.1180
1063	0.1183
1064	0.1175
1065	0.1179
1066	0.1178
1067	0.1181
1068	0.1182
1069	0.1180
1070	0.1179
1071	0.1181
1072	0.1184
1073	0.1182
1074	0.1183
1075	0.1184
1076	0.1184
1077	0.1185
1078	0.1186
1079	0.1188
1080	0.1186
1081	0.1182
1082	0.1184
1083	0.1183
1084	0.1182
1085	0.1185
1086	0.1182
1087	0.1187
1088	0.1188
1089	0.1183
1090	0.1187
1091	0.1188
1092	0.1186
1093	0.1182
1094	0.1184
1095	0.1186
1096	0.1188
1097	0.1190
1098	0.1191
1099	0.1187
1100	0.1184
1101	0.1189
1102	0.1188
1103	0.1188
1104	0.1187
1105	0.1189
1106	0.1184
1107	0.1186
1108	0.1189
1109	0.1192
